title,url,difficulty,step,lecture,patterns
Longest Substring with At Most K Distinct Characters,,Medium,10,,Sliding Window;Two Pointers
Subarray with k different integers,https://leetcode.com/problems/subarrays-with-k-different-integers/,Hard,10,,Sliding Window;Two Pointers
Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,10,,Sliding Window
Minimum Window Subsequence,https://leetcode.com/problems/minimum-window-subsequence/,Hard,10,,Sliding Window
Introduction to Priority Queues using Binary Heaps,,Medium,11,,Heap
Min Heap and Max Heap Implementation,,Medium,11,,Heap
Check if an array represents a min-heap or not,,Medium,11,,Heap
Convert min Heap to max Heap,,Medium,11,,Heap
Kth largest element in an array [use priority queue],https://leetcode.com/problems/kth-largest-element-in-an-array/,Easy,11,,Heap
Kth smallest element in an array [use priority queue],,Easy,11,,Heap
Sort K sorted array,,Easy,11,,Heap
Merge M sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,11,,Heap
Replace each array element by its corresponding rank,,Easy,11,,Heap
Task Scheduler,https://leetcode.com/problems/task-scheduler/,Medium,11,,Heap
Hands of Straights,https://leetcode.com/problems/hand-of-straights/,Medium,11,,Heap
Design twitter,https://leetcode.com/problems/design-twitter/,Medium,11,,Heap
Connect `n` ropes with minimal cost,,Medium,11,,Heap
Kth largest element in a stream of running integers,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Easy,11,,Heap
Maximum Sum Combination,,Medium,11,,Heap
Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,11,,Heap
K most frequent elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,11,,Heap
Assign Cookies,https://leetcode.com/problems/assign-cookies/,Easy,12,,Greedy
Fractional Knapsack Problem,,Medium,12,,Greedy
Greedy algorithm to find minimum number of coins,,Medium,12,,Greedy
Lemonade Change,https://leetcode.com/problems/lemonade-change/,Easy,12,,Greedy
Valid Paranthesis Checker,,Medium,12,,Greedy
N meetings in one room,,Medium,12,,Interval Scheduling;Greedy
Jump Game,https://leetcode.com/problems/jump-game/,Medium,12,,Greedy
Jump Game 2,https://leetcode.com/problems/jump-game-ii/,Medium,12,,Greedy
Minimum number of platforms required for a railway,,Medium,12,,Interval Scheduling;Greedy
Job sequencing Problem,,Medium,12,,Interval Scheduling;Greedy
Candy,https://leetcode.com/problems/candy/,Hard,12,,Greedy
Program for Shortest Job First (or SJF) CPU Scheduling,,Medium,12,,Greedy
Program for LRU Page Replacement Algorithm,,Medium,12,,Greedy
Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,12,,Interval Scheduling;Greedy
Merge Intervals,,Medium,12,,Interval Scheduling;Greedy
Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Medium,12,,Interval Scheduling;Greedy
Introduction to Trees,,Easy,13,,Binary Tree
Binary Tree Representation in C++,,Easy,13,,Binary Tree
Binary Tree Representation in Java,,Easy,13,,Binary Tree
Binary Tree Traversals in Binary Tree,,Easy,13,,Binary Tree Traversal;Binary Tree
Preorder Traversal of Binary Tree,,Easy,13,,Binary Tree Traversal;Binary Tree
Inorder Traversal of Binary Tree,,Easy,13,,Binary Tree Traversal;Binary Tree
Post-order Traversal of Binary Tree,,Easy,13,,Binary Tree Traversal;Binary Tree
Level order Traversal / Level order traversal in spiral form,https://leetcode.com/problems/binary-tree-level-order-traversal/,Easy,13,,Binary Tree Traversal;Binary Tree
Iterative Preorder Traversal of Binary Tree,,Easy,13,,Binary Tree Traversal;Binary Tree
Iterative Inorder Traversal of Binary Tree,,Easy,13,,Binary Tree Traversal;Binary Tree
Post-order Traversal of Binary Tree using 2 stack,,Easy,13,,Binary Tree Traversal;Binary Tree
Post-order Traversal of Binary Tree using 1 stack,,Medium,13,,Binary Tree Traversal;Binary Tree
"Preorder, Inorder, and Postorder Traversal in one Traversal",,Medium,13,,Binary Tree Traversal;Binary Tree
Height of a Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Medium,13,,Binary Tree
Check if the Binary tree is height-balanced or not,https://leetcode.com/problems/balanced-binary-tree/,Medium,13,,Binary Tree
Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,Medium,13,,Binary Tree
Maximum path sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,13,,Binary Tree
Check if two trees are identical or not,https://leetcode.com/problems/same-tree/,Medium,13,,Binary Tree
Zig Zag Traversal of Binary Tree,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Easy,13,,Binary Tree Traversal;Binary Tree
Boundary Traversal of Binary Tree,,Medium,13,,Binary Tree Traversal;Binary Tree
Vertical Order Traversal of Binary Tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,Easy,13,,Binary Tree Traversal;Binary Tree
Top View of Binary Tree,,Easy,13,,Binary Tree Traversal;Binary Tree
Bottom View of Binary Tree,,Medium,13,,Binary Tree Traversal;Binary Tree
Right/Left View of Binary Tree,,Medium,13,,Binary Tree Traversal;Binary Tree
Symmetric Binary Tree,https://leetcode.com/problems/symmetric-tree/,Medium,13,,Binary Tree
Root to Node Path in Binary Tree,,Medium,13,,Binary Tree
LCA in Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,13,,Binary Tree
Maximum width of a Binary Tree,,Medium,13,,Binary Tree
Check for Children Sum Property,,Hard,13,,Binary Tree
Print all the Nodes at a distance of K in a Binary Tree,,Medium,13,,Binary Tree
